"agency_code","agency_collection_num","collection_id","code","name","street","city","zip","region","site_code","site_name","site_street","site_city","site_zip","site_region","calculated_neighborhood","calculated_neighborhood_distance","calculated_city","calculated_city_distance","calculated_subcounty","calculated_county","calculated_state","longitude","latitude","coordinate_precision","group","identified_by","trap_type","lure","collection_date","disease_week","num_trap","trap_nights","trap_problem","comments","species","add_date","add_user","males","females - mixed","females - gravid"
"CNSL",113,3403970,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; Friant, bt houses and treatment ponds","Culex quinquefasciatus","2025-04-21T16:05:47.491Z",1032,0,0,8
"CNSL",114,3403972,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; Friant, Fish Hatchery","Culex quinquefasciatus","2025-04-21T16:06:21.809Z",1032,0,0,4
"CNSL",115,3403974,"001118","122027-802","Friant and Audubon","Fresno","93720",222,"001118","122027-802","Friant and Audubon","Fresno","93720",222,"","","","","","","",-119.781875,36.865925,2,"","JB- Collected by CR","BG Sentinel","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; WWP, Japanese Garden","Culex quinquefasciatus","2025-04-21T16:07:56.453Z",1032,0,2,0
"CNSL",115,3403974,"001118","122027-802","Friant and Audubon","Fresno","93720",222,"001118","122027-802","Friant and Audubon","Fresno","93720",222,"","","","","","","",-119.781875,36.865925,2,"","JB- Collected by CR","BG Sentinel","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; WWP, Japanese Garden","Culex tarsalis","2025-04-21T16:07:56.453Z",1032,1,0,0
"CNSL",115,3403974,"001118","122027-802","Friant and Audubon","Fresno","93720",222,"001118","122027-802","Friant and Audubon","Fresno","93720",222,"","","","","","","",-119.781875,36.865925,2,"","JB- Collected by CR","BG Sentinel","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; WWP, Japanese Garden","Culex tarsalis","2025-04-21T16:07:56.453Z",1032,0,1,0
"CNSL",115,3403974,"001118","122027-802","Friant and Audubon","Fresno","93720",222,"001118","122027-802","Friant and Audubon","Fresno","93720",222,"","","","","","","",-119.781875,36.865925,2,"","JB- Collected by CR","BG Sentinel","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; WWP, Japanese Garden","Culex stigmatosoma","2025-04-21T16:07:56.453Z",1032,0,1,0
"CNSL",116,3403975,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","BG Sentinel","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; Clovis Community College","Culex tarsalis","2025-04-21T16:09:51.564Z",1032,0,7,0
"CNSL",116,3403975,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","BG Sentinel","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed; Clovis Community College","Culex stigmatosoma","2025-04-21T16:09:51.564Z",1032,0,3,0
"CNSL",117,3403977,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","BG Sentinel","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed;; 3950 Marcus","Culex quinquefasciatus","2025-04-21T16:10:28.473Z",1032,0,1,0
"CNSL",117,3403977,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","BG Sentinel","","2025-04-18T07:00:00.000Z",16,1,1,false,"Fixed;; 3950 Marcus","Culex tarsalis","2025-04-21T16:10:28.473Z",1032,1,0,0
